지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
포천,2023,1,2023-01,55,경기도,포천시,평강랜드,162,포천 2023_01.csv,문화관광,테마공원
포천,2023,1,2023-01,56,경기도,포천시,청성역사공원,159,포천 2023_01.csv,문화관광,도시공원
포천,2023,1,2023-01,57,경기도,포천시,한화리조트산정호수온천,156,포천 2023_01.csv,체험관광,웰니스관광
포천,2023,1,2023-01,58,경기도,포천시,포천패션타운,153,포천 2023_01.csv,쇼핑,쇼핑몰
포천,2023,1,2023-01,59,경기도,포천시,백운계곡유원지,142,포천 2023_01.csv,문화관광,복합관광시설
포천,2023,1,2023-01,60,경기도,포천시,쌍방죽낚시터,134,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,60,경기도,포천시,낭만닥터김사부촬영지,134,포천 2023_01.csv,문화관광,기타문화관광지
포천,2023,1,2023-01,62,경기도,포천시,설운체육공원,125,포천 2023_01.csv,문화관광,도시공원
포천,2023,1,2023-01,63,경기도,포천시,청계지,124,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,64,경기도,포천시,필로스GC,114,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,65,경기도,포천시,왕산사,108,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,66,경기도,포천시,백운계곡국민관광지,104,포천 2023_01.csv,문화관광,복합관광시설
포천,2023,1,2023-01,67,경기도,포천시,아딸농원,96,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,68,경기도,포천시,아프리카예술박물관,92,포천 2023_01.csv,문화관광,전시시설
포천,2023,1,2023-01,69,경기도,포천시,냉정저수지,91,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,70,경기도,포천시,포천화적연,82,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,71,경기도,포천시,송우공설시장,80,포천 2023_01.csv,쇼핑,시장
포천,2023,1,2023-01,72,경기도,포천시,자인사,78,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,72,경기도,포천시,운악산,78,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,74,경기도,포천시,포천자동차극장,75,포천 2023_01.csv,문화관광,공연시설
포천,2023,1,2023-01,75,경기도,포천시,락가든GC,72,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,76,경기도,포천시,초원낚시터,69,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,77,경기도,포천시,흥룡사,68,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,78,경기도,포천시,포천신읍시장,67,포천 2023_01.csv,쇼핑,시장
포천,2023,1,2023-01,79,경기도,포천시,가산낚시터,61,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,80,경기도,포천시,고산식물원,59,포천 2023_01.csv,문화관광,테마공원
포천,2023,1,2023-01,80,경기도,포천시,클라우드시네마,59,포천 2023_01.csv,문화관광,공연시설
포천,2023,1,2023-01,82,경기도,포천시,태국군참전비,56,포천 2023_01.csv,역사관광,역사유물
포천,2023,1,2023-01,82,경기도,포천시,포천레이스웨이,56,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,84,경기도,포천시,오지재고개,52,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,85,경기도,포천시,갈월버섯농장,48,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,86,경기도,포천시,화엄사,45,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,86,경기도,포천시,동화사,45,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,86,경기도,포천시,포천체육공원,45,포천 2023_01.csv,문화관광,도시공원
포천,2023,1,2023-01,89,경기도,포천시,약천사,44,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,90,경기도,포천시,금주저수지,43,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,91,경기도,포천시,포천파크골프장,42,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,92,경기도,포천시,베어스타운스노우타운눈썰매장,40,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,93,경기도,포천시,Y스포츠센터,39,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,94,경기도,포천시,어하고개,38,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,94,경기도,포천시,구담사,38,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,94,경기도,포천시,지장산계곡,38,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,94,경기도,포천시,허브아일랜드불빛동화축제,38,포천 2023_01.csv,문화관광,기타문화관광지
포천,2023,1,2023-01,94,경기도,포천시,천주사,38,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,99,경기도,포천시,국망봉자연휴양림,37,포천 2023_01.csv,자연관광,자연공원
포천,2023,1,2023-01,100,경기도,포천시,일동시장,36,포천 2023_01.csv,쇼핑,시장
포천,2023,1,2023-01,101,경기도,포천시,모돈갤러리,35,포천 2023_01.csv,문화관광,전시시설
포천,2023,1,2023-01,101,경기도,포천시,포천아트밸리천문과학관,35,포천 2023_01.csv,문화관광,전시시설
포천,2023,1,2023-01,103,경기도,포천시,한탄강주상절리길3코스,33,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,103,경기도,포천시,내촌낚시터,33,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,105,경기도,포천시,성불암,32,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,106,경기도,포천시,우금낚시공원,31,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,107,경기도,포천시,포천축구공원,30,포천 2023_01.csv,문화관광,도시공원
포천,2023,1,2023-01,108,경기도,포천시,황새목낚시터,28,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,108,경기도,포천시,가농바이오농장,28,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,108,경기도,포천시,산정리조트눈썰매장,28,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,111,경기도,포천시,레이크밸리 승마클럽,26,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,112,경기도,포천시,이항복선생묘,25,포천 2023_01.csv,역사관광,역사유적지
포천,2023,1,2023-01,113,경기도,포천시,금주낚시터,24,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,113,경기도,포천시,직두리낚시터,24,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,113,경기도,포천시,극락사,24,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,113,경기도,포천시,멍우리협곡,24,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,113,경기도,포천시,대안사,24,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,118,경기도,포천시,에덴농장,23,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,118,경기도,포천시,보문정사,23,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,118,경기도,포천시,마홀축구장,23,포천 2023_01.csv,문화관광,레저스포츠시설
포천,2023,1,2023-01,121,경기도,포천시,충목단,22,포천 2023_01.csv,역사관광,역사유적지
포천,2023,1,2023-01,121,경기도,포천시,한과문화박물관,22,포천 2023_01.csv,문화관광,전시시설
포천,2023,1,2023-01,121,경기도,포천시,새마을낚시터,22,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,124,경기도,포천시,백로주유원지,21,포천 2023_01.csv,문화관광,복합관광시설
포천,2023,1,2023-01,124,경기도,포천시,코버월드,21,포천 2023_01.csv,문화관광,전시시설
포천,2023,1,2023-01,126,경기도,포천시,베스트원스포츠,20,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,126,경기도,포천시,산정랜드,20,포천 2023_01.csv,문화관광,복합관광시설
포천,2023,1,2023-01,128,경기도,포천시,나남수목원,19,포천 2023_01.csv,자연관광,자연공원
포천,2023,1,2023-01,129,경기도,포천시,도연암,18,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,130,경기도,포천시,천주호,17,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,131,경기도,포천시,포천염광수련원,16,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,131,경기도,포천시,자비사,16,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,131,경기도,포천시,도평리터미널,16,포천 2023_01.csv,기타관광,교통시설
포천,2023,1,2023-01,131,경기도,포천시,제일베리,16,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,135,경기도,포천시,마전낚시터,15,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,136,경기도,포천시,황금프라자,14,포천 2023_01.csv,쇼핑,쇼핑몰
포천,2023,1,2023-01,137,경기도,포천시,가람누리문화공원전망대,13,포천 2023_01.csv,문화관광,랜드마크관광
포천,2023,1,2023-01,137,경기도,포천시,광릉분재예술공원,13,포천 2023_01.csv,문화관광,도시공원
포천,2023,1,2023-01,137,경기도,포천시,축구장소흘생활체육공원,13,포천 2023_01.csv,문화관광,레저스포츠시설
포천,2023,1,2023-01,137,경기도,포천시,천은사,13,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,141,경기도,포천시,만덕사,12,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,141,경기도,포천시,미륵박물관,12,포천 2023_01.csv,문화관광,전시시설
포천,2023,1,2023-01,143,경기도,포천시,금룡사,11,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,143,경기도,포천시,한탄강팔호유원지,11,포천 2023_01.csv,문화관광,복합관광시설
포천,2023,1,2023-01,143,경기도,포천시,전운사,11,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,143,경기도,포천시,운천재래시장,11,포천 2023_01.csv,쇼핑,시장
포천,2023,1,2023-01,143,경기도,포천시,포천반월성,11,포천 2023_01.csv,역사관광,역사유적지
포천,2023,1,2023-01,143,경기도,포천시,무림사,11,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,143,경기도,포천시,금불사,11,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,150,경기도,포천시,포천허브아일랜드 자동차극장,10,포천 2023_01.csv,문화관광,공연시설
포천,2023,1,2023-01,150,경기도,포천시,쌍불사,10,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,150,경기도,포천시,깊이울저수지,10,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,150,경기도,포천시,백운산,10,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,150,경기도,포천시,초가낚시터,10,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,150,경기도,포천시,중리저수지,10,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,150,경기도,포천시,통일대,10,포천 2023_01.csv,기타관광,기타관광
포천,2023,1,2023-01,150,경기도,포천시,향적사,10,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,150,경기도,포천시,키즈필포천송우점,10,포천 2023_01.csv,문화관광,테마공원
포천,2023,1,2023-01,159,경기도,포천시,대한불교조계종정변지사,9,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,159,경기도,포천시,포천하늘아래치유의숲,9,포천 2023_01.csv,기타관광,기타관광
포천,2023,1,2023-01,161,경기도,포천시,털보낚시터,8,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,162,경기도,포천시,루지월드베어스타운점,7,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,162,경기도,포천시,밤밭실내장어낚시터,7,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,162,경기도,포천시,포천그린아울렛,7,포천 2023_01.csv,쇼핑,쇼핑몰
포천,2023,1,2023-01,162,경기도,포천시,명성산,7,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,162,경기도,포천시,청한베이스볼파크,7,포천 2023_01.csv,문화관광,레저스포츠시설
포천,2023,1,2023-01,162,경기도,포천시,가온농장,7,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,168,경기도,포천시,자이언트복싱짐,6,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,168,경기도,포천시,소흘이모야,6,포천 2023_01.csv,체험관광,공예체험
포천,2023,1,2023-01,168,경기도,포천시,양치식물전시원,6,포천 2023_01.csv,문화관광,테마공원
포천,2023,1,2023-01,168,경기도,포천시,풍림농장,6,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,168,경기도,포천시,베어스타운CC휴업중,6,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,168,경기도,포천시,송일농장,6,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,168,경기도,포천시,청계산,6,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,168,경기도,포천시,강포저수지,6,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,168,경기도,포천시,운악산포천운주사방면,6,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,168,경기도,포천시,왕방산,6,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,168,경기도,포천시,태산낚시터,6,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,168,경기도,포천시,미트빌연합사업단,6,포천 2023_01.csv,쇼핑,시장
포천,2023,1,2023-01,168,경기도,포천시,포천블루파크,6,포천 2023_01.csv,문화관광,테마공원
포천,2023,1,2023-01,168,경기도,포천시,한탄강금빛사과농원,6,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,168,경기도,포천시,장암저수지,6,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,183,경기도,포천시,포천탁구장,5,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,183,경기도,포천시,옥병서원,5,포천 2023_01.csv,역사관광,역사유적지
포천,2023,1,2023-01,183,경기도,포천시,리얼야구존포천시청점,5,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,186,경기도,포천시,한탄강주상절리길2코스,4,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,186,경기도,포천시,관음사,4,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,186,경기도,포천시,소우주도자기공방,4,포천 2023_01.csv,체험관광,공예체험
