addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 의정부시 호원동,125,,,,,2952960,15,20230327131604,https://tong.visitkorea.or.kr/cms/resource/74/4046274_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/74/4046274_image3_1.jpg,Type3,127.051389,37.706144,6.0,20260406094239,,031-870-7344,의정부 호원 벚꽃 페스타,11647,41,150.0,EV,EV01,EV010500
경기도 의정부시 호국로1297번길 26-20 (의정부동),,,,,,4065875,39,20260519164351,https://tong.visitkorea.or.kr/cms/resource/03/4064703_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/03/4064703_image3_1.jpg,Type1,127.049293467177,37.7447527089161,,20260519164445,,,의정부명물부대찌개본점,11689,41,150.0,FD,FD01,FD010100
경기도 의정부시 산단로 123 (신곡동),,31.0,A02,A0206,A02060700,129861,14,20071106103329,http://tong.visitkorea.or.kr/cms/resource/23/3048723_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3048723_image3_1.jpg,Type3,127.0794233534,37.746460136,6.0,20250722135141,25.0,,의정부문화원,11780,41,150.0,VE,VE09,VE090100
경기도 의정부시 민락로 248 (민락동),,,,,,2705299,14,20210203234259,https://tong.visitkorea.or.kr/cms/resource/97/2947297_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/97/2947297_image3_1.jpg,Type1,127.10612674670368,37.745144761118866,6.0,20260507164827,,,의정부미술도서관,11814,41,150.0,VE,VE09,VE090300
경기도 의정부시 의정로 27 (의정부동),,,,,,131150,28,20020809090000,https://tong.visitkorea.or.kr/cms/resource/87/3566287_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/87/3566287_image3_1.jpg,Type1,127.03484946496678,37.73522546075685,6.0,20260507162051,,,의정부시 청소년수련관,11622,41,150.0,VE,VE10,VE100200
경기도 의정부시 체육로 136 (녹양동),,,,,,452707,28,20080212195750,https://tong.visitkorea.or.kr/cms/resource/63/3500263_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/63/3500263_image3_1.jpeg,Type3,127.02322897727804,37.75986809418624,6.0,20260311100340,,,의정부실내빙상장,11606,41,150.0,LS,LS01,LS010900
경기도 의정부시 평화로 527 (의정부동),,31.0,A02,A0203,A02030600,2999457,12,20230822135028,http://tong.visitkorea.or.kr/cms/resource/89/2999389_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/2999389_image3_1.JPG,Type3,127.047357047,37.7391465187,6.0,20250114135302,25.0,,의정부역동부광장,11696,41,150.0,VE,VE04,VE040100
경기도 의정부시 의정로 1 (의정부동),,31.0,A02,A0206,A02060600,130409,14,20071106105559,http://tong.visitkorea.or.kr/cms/resource/00/3072800_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3072800_image3_1.jpg,Type3,127.0345167201,37.7332858581,6.0,20250721141651,25.0,,의정부예술의전당,11622,41,150.0,VE,VE06,VE060100
경기도 의정부시 장곡로 280,,,,,,2841316,14,20220823102215,https://tong.visitkorea.or.kr/cms/resource/05/4006705_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/05/4006705_image3_1.jpg,Type1,127.053773338395,37.7284618633777,6.0,20260409162355,,,의정부음악도서관,11733,41,150.0,VE,VE09,VE090300
경기도 의정부시 부용로214번길 51-81 (신곡동),,,,,,4065899,12,20260519170301,https://tong.visitkorea.or.kr/cms/resource/23/2768423_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/23/2768423_image3_1.jpg,Type3,127.076954356371,37.7469550883663,,20260519170321,,,의정부천문대,11780,41,150.0,VE,VE02,VE020500
경기도 의정부시 회룡로137번길 41 (호원동),,31.0,A05,A0502,A05020100,2830421,39,20220729142437,http://tong.visitkorea.or.kr/cms/resource/19/2830419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2830419_image3_1.jpg,Type3,127.0487544645,37.7278561915,6.0,20250722145139,25.0,,의정축산,11703,41,150.0,FD,FD01,FD010100
